,State Name,District Name,Population,Household_Rural_Livable,Household_Rural_Dilapidated,Household_Rural_Latrine_premise,Household_Urban_Livable,Household_Urban_Dilapidated,Household_Urban_Latrine_premise,Household_Total_Livable,Household_Total_Dilapidated,Household_Total_Latrine_premise,Households_Rural,Households_Urban,Households,Number_of_ppl_per_house,Rural_Population,Urban_Population
0,telangana,adilabad,2741239.0,213295.36200000002,38835.29,82450.308,51758.28,6166.9439999999995,155715.336,264939.33599999995,44974.27,239590.202,597466.0,220248.0,817714.0,3.3523200043046835,2002897.2236919021,738341.7763080979
1,uttar pradesh,agra,4418797.0,262897.659,21369.752999999997,82497.186,155417.464,7730.187999999999,333618.64,417566.226,28922.336,418470.049,496971.0,406852.0,903823.0,4.889007029031126,2429694.712224628,1989102.2877753717
2,gujarat,ahmadabad,7214225.0,143033.445,7063.38,116192.601,441046.53699999995,11072.298,1699597.7429999998,580417.728,17588.416,1824798.16,353169.0,1845383.0,2198552.0,3.2813529086416877,1158872.125392076,6055352.874607923
3,maharashtra,ahmadnagar,4543159.0,318666.25800000003,77063.082,407184.66300000006,65144.541000000005,7050.275,207560.096,385110.564,84697.856,610089.244,1041393.0,282011.0,1323404.0,3.4329343118201243,3575033.761789295,968125.2382107051
4,mizoram,aizawl,400309.0,7117.22,349.69,20035.180000000004,13336.606000000002,562.387,79778.613,20585.843999999997,908.1990000000001,99800.979,20570.0,80341.0,100911.0,3.9669510757003694,81600.1836271566,318708.8163728434
5,rajasthan,ajmer,2583052.0,204258.165,13917.39,57716.235,76702.401,3024.1090000000004,236980.178,282596.902,17106.35,289439.442,409335.0,274919.0,684254.0,3.774989989097616,1545235.5271872727,1037816.4728127274
6,maharashtra,akola,1813906.0,146375.05,21879.217999999997,95220.82199999999,66274.026,7254.849,141763.671,214299.875,29749.865,232452.335,308158.0,196077.0,504235.0,3.5973425089492004,1108549.8728727677,705356.1271272324
7,kerala,alappuzha,2127789.0,99094.281,25519.263000000003,301259.87100000004,104695.239,25487.605,371334.799,204037.152,50647.52,672164.944,331419.0,392117.0,723536.0,2.9408198071692357,974643.559672221,1153145.4403277792
8,uttar pradesh,aligarh,3673889.0,330060.33900000004,25031.031000000003,124573.03799999999,116999.408,7450.434,232895.048,446190.68,32606.242,360384.78,582117.0,275942.0,858059.0,4.281627487154147,2492408.1479397104,1181480.8520602896
9,madhya pradesh,alirajpur,728999.0,84372.786,5434.64,6793.3,4369.276000000001,381.21200000000005,11040.485999999999,89564.16,5870.592,15805.44,135866.0,14662.0,150528.0,4.8429461628401365,657991.723360438,71007.27663956209
