,District_Name,Population,total_livable_houses_per_1k,dilapidated_houses_per_1k
0,south andaman,238142.0,94.5948,7.6845
1,nicobars,36842.0,,
2,north  and middle andaman,105597.0,169.7870,10.6727
3,chittoor,4174064.0,,
4,guntur,4887813.0,90.8451,11.1878
5,anantapur,4081148.0,65.4985,7.5043
6,kurnool,4053463.0,68.1161,7.4418
7,sri potti sriramulu nellore,2963557.0,79.6863,11.6941
8,prakasam,3397448.0,89.9752,12.0585
9,y.s.r.,2882469.0,63.8102,6.4473
10,krishna,4517398.0,87.2265,10.9906
11,west godavari,3936966.0,90.0650,13.6684
12,east godavari,5154296.0,87.2228,10.4162
13,visakhapatnam,4290589.0,75.9294,7.0545
14,vizianagaram,2344474.0,91.4836,9.6120
15,srikakulam,2703114.0,101.2406,10.6880
16,papum pare,176573.0,104.6196,10.5792
17,west kameng,83947.0,,
18,tawang,49977.0,112.9520,9.1042
19,anjaw,21167.0,164.0762,17.1021
20,upper siang,35320.0,100.1699,1.6421
21,lohit,145726.0,161.1792,16.6408
22,east kameng,78690.0,138.6199,6.4430
23,upper subansiri,83448.0,131.1715,5.0331
24,east siang,99214.0,109.1681,7.0756
25,changlang,148226.0,129.0799,4.1828
26,tirap,111975.0,98.6292,2.5184
27,lower subansiri,83030.0,103.5168,3.7336
28,kurung kumey,92076.0,96.2140,25.8591
29,dibang valley,8004.0,199.1504,26.7366
30,lower dibang valley,54080.0,140.5325,9.8003
31,west siang,112274.0,104.4498,3.1797
32,dhubri,1949258.0,164.0378,45.3696
33,goalpara,1008183.0,155.1405,31.7056
34,barpeta,1693622.0,177.2910,51.9207
35,morigaon,957423.0,162.8820,38.3227
36,nagaon,2823768.0,160.9704,35.5826
37,sonitpur,1924110.0,156.7426,27.1310
38,sivasagar,1151050.0,202.9338,20.6142
39,dhemaji,686133.0,215.9275,32.5943
40,tinsukia,1327929.0,147.9913,14.3690
41,golaghat,1066888.0,188.1022,23.0343
42,chirang,482162.0,163.3725,32.7317
43,lakhimpur,1042137.0,194.8870,29.1248
